Date,target_open,close_lag_1,volume_lag_1
2018-02-02,93.64,94.26,47227882
2018-02-05,90.56,91.78,47867753
2018-02-06,86.89,88.0,51031465
2018-02-07,90.49,91.33,67998564
2018-02-08,89.71,89.61,41107592
2018-02-09,86.3,85.01,55628657
2018-02-12,88.74,88.18,63499065
2018-02-13,88.93,89.13,35720341
2018-02-14,88.51,89.83,26407702
2018-02-15,91.21,90.81,34960912
2018-02-16,92.45,92.66,27823866
2018-02-20,91.48,92.0,30596919
2018-02-21,92.98,92.72,30911725
2018-02-22,92.05,91.49,26922503
2018-02-23,92.75,91.73,24392753
2018-02-26,94.4,94.06,26329226
2018-02-27,95.74,95.42,30199846
2018-02-28,94.84,94.2,25869119
2018-03-01,93.99,93.77,31167338
2018-03-02,91.58,92.85,37135561
2018-03-05,92.34,93.05,32830389
2018-03-06,94.34,93.64,23901578
2018-03-07,93.16,93.32,22175776
2018-03-08,94.27,93.86,26716127
2018-03-09,95.29,94.43,25887828
2018-03-12,96.5,96.54,36937254
2018-03-13,97.0,96.77,26073742
2018-03-14,95.12,94.41,35387817
2018-03-15,93.53,93.85,32131981
2018-03-16,94.68,94.18,27610998
2018-03-19,93.74,94.6,49081279
2018-03-20,93.05,92.89,33344085
2018-03-21,92.93,93.13,23075240
2018-03-22,91.27,92.48,24457082
2018-03-23,89.5,89.79,38604715
2018-03-26,90.61,87.18,44068949
2018-03-27,94.94,93.78,56396780
2018-03-28,89.82,89.47,56569011
2018-03-29,90.18,89.39,52501146
2018-04-02,90.47,91.27,45867548
2018-04-03,89.58,88.52,48515417
2018-04-04,87.85,89.71,37213837
2018-04-05,92.44,92.33,35559956
2018-04-06,91.49,92.38,29771881
2018-04-09,91.04,90.23,38026000
2018-04-10,92.39,90.77,31533943
2018-04-11,92.01,92.88,26939883
2018-04-12,92.43,91.86,24872110
2018-04-13,94.05,93.58,26758879
2018-04-16,94.07,93.08,23346063
2018-04-17,95.0,94.17,20288083
2018-04-18,96.22,96.07,26771000
2018-04-19,96.44,96.44,21043287
2018-04-20,95.91,96.11,23552541
2018-04-23,95.74,95.0,31154377
2018-04-24,96.24,95.35,22331829
2018-04-25,93.3,93.12,34524799
2018-04-26,93.55,92.31,33729257
2018-04-27,97.6,94.26,42529043
2018-04-30,96.33,95.82,48272780
2018-05-01,93.21,93.52,41523605
2018-05-02,94.99,95.0,31408927
2018-05-03,92.96,93.51,27471002
2018-05-04,93.32,94.07,31142497
2018-05-07,95.17,95.16,22531325
2018-05-08,95.85,96.22,24242019
2018-05-09,96.01,95.81,23484589
2018-05-10,97.46,96.94,27327410
2018-05-11,97.8,97.91,22388119
2018-05-14,97.92,97.7,16778316
2018-05-15,97.24,98.03,19454124
2018-05-16,97.36,97.32,24594010
2018-05-17,96.76,97.15,17384742
2018-05-18,96.01,96.18,17246716
2018-05-21,97.0,96.36,17865840
2018-05-22,97.68,97.6,19422467
2018-05-23,96.71,97.5,15441189
2018-05-24,98.73,98.66,21251222
2018-05-25,98.3,98.31,26649287
2018-05-29,97.84,98.36,18363918
2018-05-30,98.31,98.01,28670981
2018-05-31,99.29,98.95,22158528
2018-06-01,99.28,98.84,34140891
2018-06-04,101.26,100.79,28655624
2018-06-05,102.0,101.67,27281623
2018-06-06,102.48,102.19,23514402
2018-06-07,102.65,102.49,21122917
2018-06-08,101.09,100.88,28232197
2018-06-11,101.37,101.63,22165128
2018-06-12,101.1,101.05,23490894
